0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR METHANE PC=45.66 ATM,TC=190.77 K,ROC=.162 G/CC
 THERMODYNAMIC PROPERTY TABLE --- CH4
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
 300.0  1.1446E-01   5.58   573.10   1.2186  0.7766  376.894 1.569
 320.0  1.0603E-01   5.66   597.15   1.1881  0.7714  389.329 1.540
 340.0  9.8909E-02   5.73   620.67   1.1649  0.7673  401.201 1.518
 360.0  9.2801E-02   5.79   643.78   1.1469  0.7641  412.578 1.501
 380.0  8.7483E-02   5.86   666.57   1.1326  0.7615  423.522 1.487
 400.0  8.2800E-02   5.91   689.10   1.1210  0.7595  434.082 1.476
 500.0  6.5689E-02   6.16   799.29   1.0877  0.7543  482.353 1.442
 600.0  5.4686E-02   6.36   907.26   1.0737  0.7534  525.127 1.425
0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR HELIUM   PC = 2ATM,  TC=5 K,     RHOC=1/25G/CC
 THERMODYNAMIC PROPERTY TABLE --- HE 
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
   3.0  1.4303E-01   2.38     5.76   2.7207  2.2247  218.058 1.223
   3.5  1.3758E-01   2.77     7.04   2.5503  1.6519  215.836 1.544
   4.0  1.2991E-01   3.18     8.57   3.8433  2.1456  190.716 1.791
   4.5  1.4465E-02   8.94    32.89   6.7033  2.8267  109.294 2.371
   5.0  1.2065E-02   9.63    36.16   6.4023  2.9943  119.260 2.138
   5.5  1.0441E-02  10.23    39.30   6.1488  3.0578  128.074 2.011
   6.0  9.2512E-03  10.76    42.32   5.9612  3.0852  136.010 1.932
   6.5  8.3327E-03  11.23    45.27   5.8229  3.0982  143.283 1.879
   7.0  7.5969E-03  11.66    48.15   5.7191  3.1048  150.043 1.842
   7.5  6.9911E-03  12.05    50.99   5.6394  3.1085  156.390 1.814
   8.0  6.4818E-03  12.41    53.79   5.5770  3.1106  162.400 1.793
