0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR METHANE PC=45.66 ATM,TC=190.77 K,ROC=.162 G/CC
 THERMODYNAMIC PROPERTY TABLE --- CH4
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
 150.0  2.7279E-01   3.68    66.91   2.6655  0.7432  175.081 3.587
 155.0  2.3440E-01   3.75    77.95   1.8898  0.7025  185.247 2.690
 160.0  2.1081E-01   3.81    86.50   1.5682  0.6760  193.582 2.320
 165.0  1.9385E-01   3.85    93.86   1.3883  0.6570  200.819 2.113
 170.0  1.8067E-01   3.89   100.49   1.2725  0.6429  207.300 1.979
 175.0  1.6993E-01   3.93   106.64   1.1917  0.6320  213.221 1.886
 180.0  1.6091E-01   3.96   112.44   1.1321  0.6235  218.706 1.816
 185.0  1.5315E-01   3.99   117.98   1.0866  0.6168  223.838 1.762
 190.0  1.4636E-01   4.02   123.32   1.0508  0.6116  228.679 1.718
 195.0  1.4034E-01   4.05   128.50   1.0222  0.6074  233.273 1.683
 200.0  1.3494E-01   4.07   133.55   0.9988  0.6042  237.656 1.653
 220.0  1.1775E-01   4.17   152.86   0.9384  0.5975  253.545 1.571
 240.0  1.0514E-01   4.25   171.28   0.9072  0.5970  267.525 1.520
 260.0  9.5319E-02   4.32   189.24   0.8905  0.5999  280.170 1.484
 280.0  8.7384E-02   4.38   206.95   0.8820  0.6049  291.815 1.458
 300.0  8.0794E-02   4.44   224.55   0.8784  0.6111  302.676 1.437
 320.0  7.5210E-02   4.50   242.11   0.8781  0.6182  312.901 1.421
 340.0  7.0403E-02   4.55   259.69   0.8799  0.6257  322.601 1.406
 360.0  6.6212E-02   4.60   277.32   0.8832  0.6334  331.856 1.394
 380.0  6.2520E-02   4.65   295.02   0.8874  0.6413  340.731 1.384
 400.0  5.9239E-02   4.70   312.82   0.8921  0.6491  349.278 1.375
 500.0  4.7057E-02   4.90   403.34   0.9184  0.6846  388.323 1.341
   20.85    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   24.39    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   23.21    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   22.14    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   21.15    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
 THERMODYNAMIC PROPERTY TABLE --- F2 
         100.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  70.0  1.6200E+00   1.97  -129.72   1.4808  0.8999  987.855 1.646
  75.0  1.5895E+00   2.08  -122.32   1.4741  0.8736  949.611 1.687
  80.0  1.5585E+00   2.17  -114.99   1.4570  0.8351  915.574 1.745
  85.0  1.5268E+00   2.26  -107.75   1.4388  0.7934  883.722 1.814
  90.0  1.4943E+00   2.34  -100.58   1.4282  0.7569  851.600 1.887
  95.0  1.4609E+00   2.42   -93.43   1.4320  0.7323  816.806 1.956
 100.0  1.4264E+00   2.49   -86.22   1.4537  0.7229  777.851 2.011
 105.0  1.3905E+00   2.56   -78.87   1.4920  0.7270  734.962 2.052
 110.0  1.3531E+00   2.63   -71.29   1.5414  0.7384  689.905 2.087
 115.0  1.3139E+00   2.70   -63.45   1.5923  0.7466  645.234 2.133
 120.0  1.2723E+00   2.77   -55.38   1.6347  0.7395  603.297 2.211
 125.0  1.2280E+00   2.84   -47.12   1.6626  0.7087  565.601 2.346
 130.0  1.1802E+00   2.91   -38.75   1.7311  0.7048  520.524 2.456
 135.0  1.1278E+00   2.97   -30.17   1.8231  0.7037  473.614 2.591
 140.0  1.0691E+00   3.04   -20.87   1.9520  0.7056  424.827 2.766
 145.0  1.0018E+00   3.11   -10.20   2.1417  0.7113  374.345 3.011
 150.0  9.2158E-01   3.19     1.18   2.4343  0.7214  323.076 3.374
 155.0  8.2270E-01   3.28    14.39   2.8694  0.7360  274.383 3.899
 160.0  7.0431E-01   3.38    29.85   3.2658  0.7492  237.131 4.359
 165.0  5.8832E-01   3.48    46.09   3.1275  0.7472  219.634 4.186
 170.0  4.9979E-01   3.56    60.54   2.6396  0.7299  216.147 3.616
 175.0  4.3791E-01   3.63    72.59   2.2033  0.7085  218.260 3.110
 180.0  3.9363E-01   3.69    82.78   1.8926  0.6891  222.287 2.747
 185.0  3.6037E-01   3.74    91.68   1.6764  0.6727  226.934 2.492
 190.0  3.3428E-01   3.78    99.65   1.5222  0.6593  231.723 2.309
 195.0  3.1309E-01   3.82   106.96   1.4086  0.6485  236.471 2.172
 200.0  2.9539E-01   3.85   113.78   1.3223  0.6397  241.104 2.067
 220.0  2.4545E-01   3.97   137.95   1.1225  0.6185  258.193 1.815
 240.0  2.1333E-01   4.06   159.36   1.0286  0.6102  273.219 1.686
 260.0  1.9021E-01   4.14   179.38   0.9779  0.6087  286.680 1.607
 280.0  1.7244E-01   4.21   198.61   0.9486  0.6109  298.954 1.553
 300.0  1.5819E-01   4.28   217.40   0.9313  0.6154  310.301 1.513
 320.0  1.4643E-01   4.34   235.92   0.9214  0.6212  320.906 1.483
 340.0  1.3649E-01   4.39   254.28   0.9161  0.6279  330.902 1.459
 360.0  1.2796E-01   4.45   272.58   0.9140  0.6351  340.391 1.439
 380.0  1.2053E-01   4.49   290.86   0.9140  0.6425  349.451 1.423
 400.0  1.1399E-01   4.54   309.15   0.9155  0.6500  358.143 1.408
 500.0  9.0118E-02   4.75   401.46   0.9320  0.6849  397.544 1.361
0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR H2     PC=12.759ATM,TC=32.976K,RHOC=.03143G/CC
 THERMODYNAMIC PROPERTY TABLE --- H2 
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  16.0  7.5191E-02   6.02  -291.95   8.2828  5.8329 1205.162 1.420
  18.0  7.3257E-02   7.02  -274.86   8.8289  5.7933 1150.035 1.524
  20.0  7.1079E-02   7.98  -256.62   9.4208  5.5424 1108.547 1.700
  22.0  1.2093E-03  31.00   210.80  11.4160  6.2346  375.320 1.831
  24.0  1.0901E-03  31.99   233.41  11.2002  6.2363  395.211 1.796
  26.0  9.9401E-04  32.88   255.64  11.0439  6.2360  413.764 1.771
  28.0  9.1454E-04  33.69   277.61  10.9260  6.2342  431.256 1.753
  30.0  8.4752E-04  34.44   299.36  10.8343  6.2316  447.879 1.739
  32.0  7.9013E-04  35.14   320.96  10.7614  6.2285  463.768 1.728
  34.0  7.4035E-04  35.79   342.42  10.7024  6.2254  479.023 1.719
  36.0  6.9670E-04  36.40   363.77  10.6540  6.2223  493.726 1.712
  38.0  6.5808E-04  36.97   385.04  10.6137  6.2193  507.937 1.707
  40.0  6.2364E-04  37.52   406.23  10.6157  6.2523  521.092 1.698
  50.0  4.9515E-04  39.86   511.39  10.4841  6.2183  585.004 1.686
  60.0  4.1113E-04  41.79   617.08  10.7029  6.4858  636.312 1.650
  70.0  3.5171E-04  43.47   726.30  11.1781  6.9884  677.981 1.600
  80.0  3.0739E-04  45.01   841.24  11.8344  7.6616  713.060 1.545
  90.0  2.7305E-04  46.45   963.37  12.6045  8.4428  744.070 1.493
 100.0  2.4563E-04  47.82  1093.50  13.4248  9.2708  772.795 1.448
 110.0  2.2323E-04  49.13  1231.83  14.2347 10.0861  800.397 1.411
 120.0  2.0459E-04  50.40  1377.96  14.9753 10.8307  827.625 1.383
 130.0  1.8883E-04  51.63  1530.91  15.5893 11.4478  855.002 1.362
 140.0  1.7532E-04  52.80  1689.14  16.0214 11.8822  882.976 1.348
 150.0  1.6362E-04  53.91  1850.55  16.2173 12.0800  912.038 1.342
 160.0  1.5339E-04  54.95  2011.32  16.2365 12.1007  941.741 1.342
 170.0  1.4436E-04  55.94  2173.63  16.2198 12.0853  970.874 1.342
 180.0  1.3634E-04  56.86  2335.62  16.1730 12.0395  999.493 1.343
 190.0  1.2916E-04  57.73  2497.01  16.1014 11.9687 1027.641 1.345
 200.0  1.2270E-04  58.56  2657.58  16.0099 11.8779 1055.353 1.348
 300.0  8.1809E-05  64.82  4198.85  14.8456 10.7171 1310.238 1.385
 400.0  6.1362E-05  69.03  5660.86  14.5910 10.4636 1517.816 1.394
 500.0  4.9094E-05  72.30  7126.88  14.5160 10.3891 1698.532 1.397
 600.0  4.0914E-05  74.94  8698.83  14.5439 10.4173 1859.810 1.396
 700.0  3.5070E-05  77.19 10158.46  14.6520 10.5256 2005.789 1.392
 800.0  3.0688E-05  79.16 11629.83  14.7780 10.6516 2140.620 1.387
 900.0  2.7279E-05  80.91 13114.57  14.9193 10.7930 2266.242 1.382
1000.0  2.4551E-05  82.49 14614.13  15.0739 10.9476 2384.099 1.377
1100.0  2.2320E-05  83.93 16129.71  15.2395 11.1133 2495.305 1.371
1200.0  2.0460E-05  85.26 17662.32  15.4141 11.2879 2600.749 1.366
1300.0  1.8887E-05  86.51 19212.77  15.5959 11.4698 2701.155 1.360
1400.0  1.7538E-05  87.67 20781.69  15.7831 11.6569 2797.124 1.354
1500.0  1.6369E-05  88.76 22369.51  15.9739 11.8478 2889.163 1.348
1600.0  1.5346E-05  89.80 23976.54  16.1669 12.0408 2977.701 1.343
1700.0  1.4443E-05  90.79 25602.91  16.3606 12.2344 3063.111 1.337
1800.0  1.3641E-05  91.73 27248.63  16.5535 12.4274 3145.711 1.332
1900.0  1.2923E-05  92.63 28913.56  16.7446 12.6185 3225.782 1.327
2000.0  1.2277E-05  93.49 30597.46  16.9327 12.8066 3303.566 1.322
 THERMODYNAMIC PROPERTY TABLE --- H2 
          12.76 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  16.0  7.6298E-02   5.83  -279.14   8.0871  5.9073 1244.129 1.369
  18.0  7.4545E-02   6.81  -262.54   8.5082  5.8105 1199.862 1.464
  20.0  7.2599E-02   7.73  -245.09   8.9403  5.5375 1168.647 1.615
  22.0  7.0411E-02   8.62  -226.44   9.7592  5.4777 1127.343 1.782
  24.0  6.7923E-02   9.52  -205.64   7.7758  2.3858 1378.894 3.259
  26.0  6.5037E-02  10.49  -181.48   9.6610  2.7785 1257.969 3.477
  28.0  6.1559E-02  11.55  -152.80  12.6491  3.4954 1089.348 3.619
  30.0  5.7022E-02  12.77  -117.46  17.7942  4.2584  916.066 4.179
  32.0  4.9542E-02  14.46   -64.77  35.3663  5.0283  707.635 7.034
  34.0  1.6841E-02  21.56   169.34  41.5407  6.6030  423.313 6.291
  36.0  1.3107E-02  23.26   228.83  23.4426  6.6478  448.937 3.526
  38.0  1.1276E-02  24.39   270.42  18.8235  6.6325  471.986 2.838
  40.0  1.0065E-02  25.29   305.63  16.6401  6.6394  491.829 2.506
  50.0  6.9834E-03  28.49   448.17  12.8879  6.4699  575.368 1.992
  60.0  5.5211E-03  30.74   571.95  12.0724  6.6508  635.070 1.815
  70.0  4.6126E-03  32.60   692.24  12.0738  7.1013  680.981 1.700
  80.0  3.9791E-03  34.23   814.71  12.4680  7.7420  718.406 1.610
  90.0  3.5070E-03  35.74   942.31  13.0766  8.5019  750.817 1.538
 100.0  3.1394E-03  37.15  1076.59  13.7902  9.3155  780.445 1.480
 110.0  2.8440E-03  38.50  1218.18  14.5257 10.1207  808.674 1.435
 120.0  2.6009E-03  39.79  1366.94  15.2123 10.8580  836.367 1.401
 130.0  2.3970E-03  41.03  1522.05  15.7861 11.4698  864.115 1.376
 140.0  2.2234E-03  42.22  1682.09  16.1873 11.9002  892.402 1.360
 150.0  2.0736E-03  43.34  1845.03  16.3590 12.0948  921.749 1.353
 160.0  1.9430E-03  44.39  2007.12  16.3589 12.1131  951.700 1.351
 170.0  1.8281E-03  45.38  2170.57  16.3266 12.0957  981.020 1.350
 180.0  1.7262E-03  46.31  2333.56  16.2669 12.0484 1009.778 1.350
 190.0  1.6352E-03  47.19  2495.83  16.1846 11.9763 1038.028 1.351
 200.0  1.5534E-03  48.02  2657.19  16.0841 11.8845 1065.813 1.353
 300.0  1.0365E-03  54.30  4203.23  14.8762 10.7191 1320.621 1.388
 400.0  7.7832E-04  58.52  5667.49  14.6075 10.4645 1527.543 1.396
 500.0  6.2325E-04  61.79  7134.82  14.5263 10.3896 1707.613 1.398
 600.0  5.1975E-04  64.43  8707.62  14.5509 10.4175 1868.319 1.397
 700.0  4.4575E-04  66.69 10167.86  14.6571 10.5257 2013.802 1.393
 800.0  3.9021E-04  68.65 11639.66  14.7818 10.6517 2148.205 1.388
 900.0  3.4698E-04  70.40 13124.75  14.9224 10.7931 2273.455 1.383
1000.0  3.1237E-04  71.98 14624.58  15.0763 10.9477 2390.984 1.377
1100.0  2.8404E-04  73.42 16140.39  15.2415 11.1133 2501.901 1.371
1200.0  2.6043E-04  74.76 17673.18  15.4158 11.2880 2607.086 1.366
1300.0  2.4044E-04  76.00 19223.79  15.5974 11.4698 2707.259 1.360
1400.0  2.2330E-04  77.16 20792.83  15.7843 11.6570 2803.016 1.354
1500.0  2.0844E-04  78.26 22380.78  15.9750 11.8478 2894.862 1.348
1600.0  1.9544E-04  79.29 23987.90  16.1678 12.0408 2983.225 1.343
1700.0  1.8396E-04  80.28 25614.37  16.3614 12.2344 3068.473 1.337
1800.0  1.7376E-04  81.22 27260.16  16.5543 12.4274 3150.924 1.332
1900.0  1.6463E-04  82.12 28925.16  16.7453 12.6185 3230.857 1.327
2000.0  1.5641E-04  82.98 30609.12  16.9333 12.8067 3308.513 1.322
 THERMODYNAMIC PROPERTY TABLE --- H2 
         100.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  16.0  8.2358E-02   4.91  -182.83   7.2316  5.9900 1479.432 1.207
  18.0  8.1234E-02   5.76  -168.28   7.2711  5.6824 1471.076 1.280
  20.0  8.0010E-02   6.53  -153.62   7.3591  5.3685 1470.000 1.371
  22.0  7.8693E-02   7.25  -138.54   7.7460  5.3315 1459.360 1.453
  24.0  7.7289E-02   7.96  -122.35   8.5173  5.6690 1429.007 1.502
  26.0  7.5806E-02   8.67  -104.41   9.4874  6.1984 1386.769 1.531
  28.0  7.4248E-02   9.41   -84.64  10.2947  6.5569 1348.349 1.570
  30.0  7.2618E-02  10.14   -63.50  10.4259  6.2288 1334.534 1.674
  32.0  7.0918E-02  10.87   -40.72   9.0253  4.3564 1421.248 2.072
  34.0  6.9148E-02  11.47   -20.89  10.6295  5.4749 1315.383 1.941
  36.0  6.7311E-02  12.11     1.35  11.5895  5.9360 1259.808 1.952
  38.0  6.5407E-02  12.76    25.41  12.4485  6.2859 1210.970 1.980
  40.0  6.3440E-02  13.42    51.10  13.2634  6.5875 1165.156 2.013
  50.0  5.2997E-02  16.70   198.67  15.9473  7.1179  998.587 2.240
  60.0  4.3178E-02  19.69   362.66  16.5191  7.3829  909.383 2.237
  70.0  3.5659E-02  22.20   525.45  15.9941  7.7334  878.913 2.068
  80.0  3.0274E-02  24.30   683.01  15.5739  8.2433  875.272 1.889
  90.0  2.6352E-02  26.13   838.11  15.5006  8.8907  883.344 1.743
 100.0  2.3391E-02  27.77   993.95  15.7037  9.6176  897.443 1.633
 110.0  2.1075E-02  29.28  1152.71  16.0644 10.3581  915.241 1.551
 120.0  1.9209E-02  30.70  1315.40  16.4738 11.0470  935.682 1.491
 130.0  1.7670E-02  32.03  1482.03  16.8387 11.6224  958.280 1.449
 140.0  1.6375E-02  33.29  1651.76  17.0795 12.0249  982.894 1.420
 150.0  1.5269E-02  34.47  1822.98  17.1257 12.1981 1009.677 1.404
 160.0  1.4310E-02  35.56  1992.21  17.0256 12.1996 1037.767 1.396
 170.0  1.3471E-02  36.59  2161.91  16.9123 12.1687 1065.526 1.390
 180.0  1.2729E-02  37.55  2330.41  16.7861 12.1106 1092.945 1.386
 190.0  1.2068E-02  38.46  2497.60  16.6485 12.0298 1120.025 1.384
 200.0  1.1475E-02  39.31  2663.35  16.5015 11.9308 1146.773 1.383
 300.0  7.7359E-03  45.71  4237.19  15.0629 10.7338 1394.486 1.403
 400.0  5.8560E-03  49.97  5715.62  14.7153 10.4709 1595.622 1.405
 500.0  4.7173E-03  53.26  7191.67  14.5970 10.3929 1771.061 1.405
 600.0  3.9517E-03  55.91  8770.42  14.6010 10.4195 1927.917 1.401
 700.0  3.4009E-03  58.17 10234.99  14.6946 10.5270 2070.111 1.396
 800.0  2.9855E-03  60.14 11710.10  14.8109 10.6526 2201.693 1.390
 900.0  2.6607E-03  61.89 13197.79  14.9456 10.7937 2324.487 1.385
1000.0  2.3999E-03  63.47 14699.72  15.0953 10.9481 2439.851 1.379
1100.0  2.1857E-03  64.92 16217.27  15.2573 11.1136 2548.838 1.373
1200.0  2.0067E-03  66.26 17751.53  15.4292 11.2882 2652.290 1.367
1300.0  1.8548E-03  67.50 19303.38  15.6089 11.4700 2750.895 1.361
1400.0  1.7244E-03  68.66 20873.51  15.7943 11.6571 2845.227 1.355
1500.0  1.6111E-03  69.76 22462.39  15.9837 11.8479 2935.769 1.349
1600.0  1.5118E-03  70.79 24070.34  16.1756 12.0409 3022.933 1.343
1700.0  1.4240E-03  71.78 25697.54  16.3682 12.2345 3107.076 1.338
1800.0  1.3459E-03  72.72 27343.98  16.5604 12.4275 3188.505 1.333
1900.0  1.2759E-03  73.62 29009.57  16.7508 12.6186 3267.489 1.327
2000.0  1.2128E-03  74.49 30694.06  16.9384 12.8067 3344.260 1.323
 Normal termination of ShortIsobar
