  alt    sigma     delta    theta   temp    press      dens    a    visc  k.visc
  Km                                  K    N/sq.m   kg/cu.m   m/s  kg/m-s sq.m/s
 270 3.0516E-11 1.5874E-10 3.3283  959.0 1.608E-05 3.738E-11 620.8 40.49 1.08E+06
 275 2.7179E-11 1.4304E-10 3.3404  962.5 1.449E-05 3.329E-11 622.0 40.58 1.22E+06
 280 2.4253E-11 1.2906E-10 3.3515  965.7 1.308E-05 2.971E-11 623.0 40.66 1.37E+06
 285 2.1681E-11 1.1660E-10 3.3617  968.7 1.181E-05 2.656E-11 623.9 40.74 1.53E+06
 290 1.9415E-11 1.0546E-10 3.3710  971.3 1.069E-05 2.378E-11 624.8 40.80 1.72E+06
 295 1.7413E-11 9.5495E-11 3.3794  973.8 9.676E-06 2.133E-11 625.6 40.86 1.92E+06
 300 1.5640E-11 8.6557E-11 3.3872  976.0 8.770E-06 1.916E-11 626.3 40.92 2.14E+06
 305 1.4067E-11 7.8530E-11 3.3942  978.0 7.957E-06 1.723E-11 626.9 40.97 2.38E+06
 310 1.2668E-11 7.1314E-11 3.4007  979.9 7.226E-06 1.552E-11 627.5 41.02 2.64E+06
 315 1.1423E-11 6.4819E-11 3.4066  981.6 6.568E-06 1.399E-11 628.1 41.06 2.93E+06
 320 1.0313E-11 5.8967E-11 3.4120  983.2 5.975E-06 1.263E-11 628.6 41.10 3.25E+06
 325 9.3218E-12 5.3689E-11 3.4169  984.6 5.440E-06 1.142E-11 629.0 41.14 3.60E+06
 330 8.4353E-12 4.8923E-11 3.4214  985.9 4.957E-06 1.033E-11 629.4 41.17 3.98E+06
 335 7.6414E-12 4.4617E-11 3.4255  987.1 4.521E-06 9.361E-12 629.8 41.20 4.40E+06
 340 6.9295E-12 4.0721E-11 3.4293  988.2 4.126E-06 8.489E-12 630.2 41.23 4.86E+06
 345 6.2901E-12 3.7193E-11 3.4328  989.1 3.769E-06 7.705E-12 630.5 41.25 5.35E+06
 350 5.7152E-12 3.3996E-11 3.4359  990.1 3.445E-06 7.001E-12 630.8 41.27 5.90E+06
 355 5.1976E-12 3.1095E-11 3.4388  990.9 3.151E-06 6.367E-12 631.0 41.29 6.49E+06
 360 4.7310E-12 2.8462E-11 3.4414  991.7 2.884E-06 5.795E-12 631.3 41.31 7.13E+06
 365 4.3098E-12 2.6068E-11 3.4439  992.3 2.641E-06 5.279E-12 631.5 41.33 7.83E+06
